Country,Name,Artist,Album,Genre,Source
Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,流行樂,Apple
Hong Kong,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),原聲帶,Apple
Hong Kong,說好不哭,周杰倫 & 阿信,說好不哭 - Single,國語流行樂,Apple
Hong Kong,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",另類音樂,Apple
Hong Kong,句號,G.E.M. 鄧紫棋,句號 - Single,國語流行樂,Apple
Netherlands,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,Apple
Netherlands,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,Apple
Netherlands,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,Apple
Netherlands,Memories,Maroon 5,Memories - Single,Pop,Apple
Netherlands,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,Apple
Russia,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,Увезите меня на Дип-хаус - Single,Поп,Apple
Russia,Любимка,NILETTO,Любимка - Single,Поп,Apple
Russia,Комета,JONY,Комета - Single,Поп,Apple
Russia,Dance Monkey,Tones and I,The Kids Are Coming - EP,Альтернатива,Apple
Russia,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B и соул,Apple
Australia,Dance Monkey,Tones and I,Dance Monkey - Single,Pop,Apple
Australia,Ride It,Regard,Ride It - Single,Dance,Apple
Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,Apple
Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,Apple
Australia,Never Seen the Rain,Tones and I,The Kids Are Coming - EP,Alternative,Apple
Canada,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,Apple
Canada,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,Apple
Canada,Heartless,The Weeknd,Heartless - Single,R&B/Soul,Apple
Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,Apple
Canada,Falling,Trevor Daniel,Falling - Single,Pop,Apple
France,Ne reviens pas (feat. Heuss L'enfoiré),Gradur,Zone 59,Hip-hop/Rap,Apple
France,Mayday (feat. Ninho),SCH,Rooftop,Hip-hop/Rap,Apple
France,40%,Aya Nakamura,NAKAMURA (Deluxe Edition),R&B/Soul,Apple
France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,Apple
France,R.A.C.,SCH,Rooftop,Hip-hop/Rap,Apple
Japan,Pretender,Official髭男dism,Pretender - Single,J-Pop,Apple
Japan,白日,King Gnu,白日 - Single,オルタナティブ,Apple
Japan,宿命,Official髭男dism,宿命 - Single,J-Pop,Apple
Japan,イエスタデイ,Official髭男dism,Traveler,J-Pop,Apple
Japan,マリーゴールド,あいみょん,瞬間的シックスセンス,J-Pop,Apple
UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,Apple
UK,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,Apple
UK,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,Apple
UK,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Christmas,Apple
UK,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,Apple
Denmark,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,Apple
Denmark,Roller,Apache 207,Platte,Hip-Hop/Rap,Apple
Denmark,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,Apple
Denmark,Wieso tust Du dir das an?,Apache 207,Platte,Hip-Hop/Rap,Apple
Denmark,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,Apple
US,Heartless,The Weeknd,Heartless - Single,R&B/Soul,Apple
US,Woah,Lil Baby,Woah - Single,Hip-Hop/Rap,Apple
US,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,Apple
US,BOP,DaBaby,KIRK,Hip-Hop/Rap,Apple
US,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,Apple
